title,partner,rating,enrollment,subject,skills,duration,level,new_career,promotion
The Language of Design: Form and Meaning,California Institute of the Arts,"4.5
stars","17,569",Arts and Humanities,"['Visual Communication', 'Graphic Design']",Beginner Level,Approx. 8 hours to complete,Missing,Missing
IBM Customer Engagement Specialist Professional Certificate,IBM,"4.8
stars","3,139",Information Technology,"['Process Management', 'Communication', 'Problem Solving', 'IT Customer Support']",Beginner Level,Approx. 18 hours to complete,Missing,Missing
Mindshift: Transforma tu mente para superar obstáculos en el aprendizaje y descubrir tu potencial oculto.,McMaster University,"4.8
stars","16,298",Personal Development,[],Beginner Level,Approx. 12 hours to complete,Missing,Missing
Global Adolescent Health,The University of Melbourne,"4.7
stars","6,438",Health,[],Beginner Level,Approx. 27 hours to complete,Missing,Missing
The Power of Team Culture,University of Pennsylvania,"4.5
stars","6,804",Business,"['Team Building', 'Cultural Learning', 'Leadership', 'Organizational Culture']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
How to Change the World,Wesleyan University,"4.7
stars","24,302",Arts and Humanities,[],Beginner Level,Approx. 32 hours to complete,Missing,Missing
Queering the Schoolhouse: LGBTQ+ Inclusion for Educators,University of Colorado System,"5.0
stars",Missing,Social Sciences,[],Beginner Level,Approx. 12 hours to complete,Missing,Missing
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,"4.7
stars","34,621",Social Sciences,"['Justice', 'Child Psychology', 'International Law', 'Humanitarian']",Beginner Level,Approx. 9 hours to complete,Missing,Missing
The History of Modern Israel – Part I: From an Idea to a State,Tel Aviv University,"4.6
stars","27,940",Arts and Humanities,"['Holocaust', 'Middle East', 'History', 'Israel']",Beginner Level,Approx. 4 hours to complete,Missing,Missing
Getting Started With Music Theory,Michigan State University,"4.5
stars","56,272",Arts and Humanities,[],Beginner Level,Approx. 12 hours to complete,Missing,Missing
IS/IT Governance,University of Minnesota,"4.5
stars","5,151",Information Technology,"['Management', 'IT Skills and Knowledge', 'Finance and accounting skills and knowledge']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Cybersecurity and Its Ten Domains,University System of Georgia,"4.2
stars","135,774",Computer Science,"['Cybersecurity', 'Cryptography', 'Information Security (INFOSEC)', 'Cyber-Security Regulation']",Beginner Level,Approx. 25 hours to complete,Missing,Missing
Foundations of Public Health Practice: The Public Health Approach,Imperial College London,"4.8
stars","1,840",Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Character Design for Video Games,California Institute of the Arts,"4.6
stars","28,218",Arts and Humanities,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Foundations for Big Data Analysis with SQL,Cloudera,"4.8
stars","9,498",Data Science,"['Database (DBMS)', 'Data Warehousing', 'Data Analysis', 'Big Data', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Teaching Science at University,University of Zurich,"4.5
stars","4,529",Personal Development,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,Universiteit Leiden,"4.8
stars","3,160",Physical Science and Engineering,[],Beginner Level,Approx. 40 hours to complete,Missing,Missing
Spanish Vocabulary Project,"University of California, Davis","4.7
stars","6,090",Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Network Security & Database Vulnerabilities,IBM,"4.6
stars","4,220",Information Technology,"['database vulnerabilities', 'Network Security', 'Sql Injection', 'Cybersecurity', 'networking basics']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Native Advertising,University of Colorado Boulder,"4.3
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Missing,Arizona State University,"4.9
stars","13,926",Language Learning,"['Teaching', 'English Language', 'Lesson Plan', 'Plan']",Beginner Level,Approx. 21 hours to complete,Missing,Missing
Introduction to G Suite,Google Cloud,"4.7
stars","8,539",Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Cost and Economics in Pricing Strategy,Missing,"4.8
stars","14,206",Business,"['Cost-Based Pricing', 'Channel and Direct-to-Consumer Pricing', 'Pricing Strategies', 'Price Discrimination', 'Price Elasticity Of Demand']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Comparative Health Systems,University of Pennsylvania,"4.4
stars",Missing,Health,"['organizational strategy', 'Health system analysis', 'World Health Organization analysis', 'Organizational Behavior']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,"4.8
stars","18,767",Business,[],Beginner Level,Approx. 18 hours to complete,Missing,Missing
Educating Deaf Children: Becoming an Empowered Teacher,University of Cape Town,"4.8
stars",Missing,Social Sciences,[],Beginner Level,Approx. 18 hours to complete,Missing,Missing
Simulation Skills: This is Your Brain on the Future,Institute for the Future,"4.8
stars","1,658",Business,"['Foresight', 'Creativity', 'Strategic Planning', 'Simulation', 'Innovation']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,"4.7
stars","3,981",Information Technology,"['Information Security (INFOSEC)', 'Information Technology (IT) Management', 'Audit', 'Risk Management', 'Change Management']",Beginner Level,Approx. 9 hours to complete,Missing,Missing
Adapt your leadership style,Macquarie University,"4.9
stars","3,042",Business,"['Communication', 'Staff Management', 'Leadership Development']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Agriculture, Economics and Nature",University of Western Australia,"4.7
stars","19,358",Social Sciences,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Global Disease Masterclass: Global Disease Distribution,Imperial College London,"4.8
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Fundamentals of Project Planning and Management,University of Virginia,"4.7
stars","120,781",Business,"['Risk Analysis', 'Project Planning', 'Planning', 'Management', 'Project Management']","Beginner Level
No prior experience needed to participate in and benefit from this course.",Approx. 8 hours to complete,Missing,Missing
"Anticipating Your Next Battle, in Business and Beyond",HEC Paris,"4.5
stars","8,481",Business,[],Beginner Level,Approx. 25 hours to complete,Missing,Missing
Intellectual Humility: Practice,The University of Edinburgh,"4.7
stars","8,289",Arts and Humanities,[],Beginner Level,Approx. 15 hours to complete,Missing,Missing
US Social Services: Where did they come from?,Columbia University,"4.8
stars",Missing,Social Sciences,"['- Distinguish the values inherent in each social policy initiative', '- Critique components of a social policy based on their effectiveness at meeting the goals stated in the initiative', '- Develop social welfare policy analysis and reform proposals', '- Differentiate alternative approaches to social policy problems', '- Formulate practice strategies to overcome the historic biases in social welfare programs']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Project Planning,"University of California, Irvine","4.7
stars",Missing,Business,[],Beginner Level,Approx. 44 hours to complete,Missing,Missing
System Administration and IT Infrastructure Services,Google,"4.7
stars","58,222",Information Technology,"['Directory Service', 'Lightweight Directory Access Protocol (LDAP)', 'Backup']",Beginner Level,Approx. 26 hours to complete,Missing,Missing
Intercultural Management,ESCP Business School,"4.6
stars","6,166",Business,"['Negotiation', 'Intercultural Competence', 'Cross-Cultural Communication', 'Intercultural Communication']",Beginner Level,Approx. 16 hours to complete,Missing,Missing
Doing Business in Europe,ESCP Business School,"4.4
stars","2,854",Business,"['Strategic Management', 'Negotiation', 'Business Strategy', 'Market (Economics)']",Beginner Level,Approx. 4 hours to complete,Missing,Missing
Planet Earth...and You!,University of Illinois at Urbana-Champaign,"4.8
stars","8,207",Physical Science and Engineering,[],Beginner Level,Approx. 45 hours to complete,Missing,Missing
Access Controls,(ISC)²,"4.6
stars","2,800",Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Maps and the Geospatial Revolution,The Pennsylvania State University,"4.7
stars","15,113",Data Science,"['Map', 'Geographic Information System (GIS)', 'Cartography', 'Map Projection']",Beginner Level,Approx. 20 hours to complete,Missing,Missing
Basics of Inclusive Design for Online Education,University of Colorado Boulder,"4.5
stars","4,828",Social Sciences,[],Beginner Level,Approx. 12 hours to complete,Missing,Missing
ICT in Primary Education: Transforming children's learning across the curriculum,University of London,"4.6
stars","7,014",Social Sciences,[],Beginner Level,Approx. 23 hours to complete,Missing,Missing
Leading Healthcare Quality and Safety,The George Washington University,"4.8
stars","15,128",Health,[],Beginner Level,Approx. 12 hours to complete,Missing,Missing
Sexing the Canvas: Art and Gender,The University of Melbourne,"4.6
stars","23,456",Arts and Humanities,[],Beginner Level,Approx. 14 hours to complete,Missing,Missing
Missing,Rice University,"4.7
stars","20,365",Business,"['Project Management', 'Planning', 'Project Charter', 'Project Planning']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Architecting Smart IoT Devices,EIT Digital ,"3.9
stars","11,261",Computer Science,[],Beginner Level,Approx. 12 hours to complete,Missing,Missing
COVID-19: What You Need to Know (CME Eligible),Osmosis,"4.8
stars","24,520",Health,[],Beginner Level,Approx. 3 hours to complete,Missing,Missing
The hidden value – Lean in manufacturing and services,Missing,"4.7
stars","13,353",Business,"['Value Stream Mapping', 'Lean Manufacturing', 'Lean Thinking', 'Lean Methods']",Beginner Level,Approx. 15 hours to complete,Missing,Missing
"Coding for Designers, Managers, & Entrepreneurs I",University of Virginia,Missing,Missing,Business,"['HTML5', 'Cascading Style Sheets (CCS)', 'User Experience Design (UXD)', 'User Story', 'Rapid Prototyping']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Smart Device & Mobile Emerging Technologies,Yonsei University,"4.7
stars","4,290",Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Visual Elements of User Interface Design,California Institute of the Arts,"4.8
stars","49,020",Arts and Humanities,"['User Interface Design (UI Design)', 'User Experience (UX)', 'Graphic Design']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets",UNSW Sydney (The University of New South Wales),"4.5
stars","32,812",Physical Science and Engineering,[],Beginner Level,Approx. 19 hours to complete,Missing,Missing
"Emergency Care: Pregnancy, Infants, and Children",University of Colorado System,"4.9
stars","2,463",Health,"['infant', 'ingestion', 'listening', 'emergency']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Sustainable Tourism – promoting environmental public health,University of Copenhagen,"4.6
stars","8,592",Health,[],Beginner Level,Approx. 9 hours to complete,Missing,Missing
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",Missing,"4.4
stars","12,843",Arts and Humanities,[],Beginner Level,Approx. 21 hours to complete,Missing,Missing
Cultural Competence - Aboriginal Sydney,The University of Sydney,"4.7
stars","5,682",Arts and Humanities,[],Beginner Level,Approx. 11 hours to complete,Missing,Missing
Fundraising and Development Foundations,"University of California, Davis","4.6
stars","4,044",Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Network Protocols and Architecture,Cisco,"4.8
stars","20,731",Information Technology,"['Subnetwork', 'Ipv4', 'Cisco', 'Broadcasting (Networking)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Number Theory and Cryptography,Missing,"4.6
stars","13,869",Computer Science,"['Number Theory', 'Cryptography', 'Modular Exponentiation']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Missing,Vanderbilt University,"4.3
stars","2,561",Social Sciences,[],Beginner Level,Approx. 19 hours to complete,Missing,Missing
Intel® Network Academy - Network Transformation 102,Intel,"4.5
stars",Missing,Information Technology,"['Unit Testing', 'Footprinting', 'Out Of The Box (Feature)', 'Hard Drives']",Beginner Level,Approx. 5 hours to complete,Missing,Missing
Healthcare Consumerism and Implication for Care Delivery,Northeastern University ,"4.4
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Translation quality management,Missing,"4.1
stars","3,084",Business,[],Beginner Level,Approx. 10 hours to complete,Missing,Missing
Ferrous Technology I,Pohang University of Science and Technology,"4.7
stars","3,236",Physical Science and Engineering,[],Beginner Level,Approx. 3 hours to complete,Missing,Missing
Economics of Transition and Emerging Markets,National Research University Higher School of Economics,"4.3
stars","9,285",Social Sciences,[],Beginner Level,Approx. 14 hours to complete,Missing,Missing
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,"4.8
stars","22,341",Business,"['Market Analysis', 'Business Model', 'Business Modeling', 'Social Entrepreneurship']",Beginner Level,Approx. 7 hours to complete,Missing,Missing
An Introduction to Accessibility and Inclusive Design,University of Illinois at Urbana-Champaign,"4.8
stars","1,994",Information Technology,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Intellectual Humility: Theory,The University of Edinburgh,"4.5
stars","20,114",Arts and Humanities,"['Philosophy', 'Psychology', 'Software Testing', 'Self-Help']",Beginner Level,Approx. 12 hours to complete,Missing,Missing
Natural Gas,Missing,"4.7
stars","5,811",Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Sales Training: Sales Team Management,HubSpot Academy,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Studying at Japanese Universities,The University of Tokyo,"4.8
stars","18,594",Personal Development,[],Beginner Level,Approx. 10 hours to complete,Missing,Missing
Agile Analytics,University of Virginia,Missing,Missing,Computer Science,"['Software Development', 'Product Management', 'Agile Software Development']",Beginner Level,Approx. 14 hours to complete,Missing,Missing
Digital Competition in Financial Services,Copenhagen Business School,"4.6
stars","11,735",Business,"['Financial Services', 'Digital Strategy', 'Financial Technology', 'Business Ecosystem']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Contemporary Geopolitics,National Research University Higher School of Economics,"4.9
stars","3,819",Social Sciences,[],Beginner Level,Approx. 31 hours to complete,Missing,Missing
U.S. Health Law Fundamentals,University of Pennsylvania,"4.8
stars",Missing,Health,"['Healthcare Management', 'Health Policy Analysis', 'Health Insurance', 'Affordable Care Act']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Python Programming Essentials,Rice University,"4.8
stars","34,145",Computer Science,"['Codeskulptor', 'Python Syntax And Semantics', 'Python Programming', 'Debugging']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Emergence of Life,University of Illinois at Urbana-Champaign,"4.3
stars","10,846",Health,[],Beginner Level,Approx. 55 hours to complete,Missing,Missing
Value Creation: The Carlson-Polizzotto Method,Northeastern University ,Missing,Missing,Business,"['Problem Solving', 'Entrepreneurship', 'Value Propositions', 'Innovation', 'Critical Thinking']","Beginner Level
No prior knowledge needed.",Approx. 3 hours to complete,Missing,Missing
市场营销概论 (中文版）,University of Pennsylvania,"4.8
stars","5,927",Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
3D CAD Fundamental,National Taiwan University,"4.7
stars","13,507",Physical Science and Engineering,[],Beginner Level,Approx. 15 hours to complete,Missing,Missing
Global Disease Masterclass: Non-communicable Diseases,Imperial College London,Missing,Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Java Programming: Solving Problems with Software,Duke University,"4.6
stars","153,554",Computer Science,"['Algorithms', 'Problem Solving', 'String (Computer Science)', 'Java Programming']",Beginner Level,Approx. 14 hours to complete,Missing,Missing
The Brain and Space,Duke University,"4.7
stars","33,672",Health,"['Psychology', 'Cognitive Science', 'Brain', 'Neurobiology']",Beginner Level,Approx. 10 hours to complete,Missing,Missing
Electric Utilities Fundamentals and Future,University of Colorado System,"4.6
stars","8,813",Physical Science and Engineering,"['Energy Policy', 'Demand', 'Renewable Energy', 'Management']",Beginner Level,Approx. 11 hours to complete,Missing,Missing
Data Analysis with Python,IBM,"4.7
stars","100,649",Data Science,"['Predictive Modelling', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Model Selection']",Beginner Level,Approx. 16 hours to complete,Missing,Missing
Russian for beginners 2. Русский язык A1,Saint Petersburg State University,"4.5
stars",Missing,Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Frozen in the Ice: Exploring the Arctic,University of Colorado Boulder,Missing,"1,573",Physical Science and Engineering,[],Beginner Level,Approx. 16 hours to complete,Missing,Missing
Global sustainability and corporate social responsibility: Be sustainable,Macquarie University,"4.8
stars","1,665",Business,"['Sustainability', 'Corporate Social Responsibility', 'Ethics']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Plagues, Witches, and War: The Worlds of Historical Fiction",University of Virginia,"4.5
stars","79,429",Arts and Humanities,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Aromatherapy: Clinical Use of Essential Oils,University of Minnesota,"4.8
stars","3,976",Health,"['integrative healthcare', 'wellbeing', 'patient-centered care', 'improved symptom management', 'evidence-based practice']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Marketing Internacional en Asia,Yonsei University,"4.8
stars","2,111",Business,[],Beginner Level,Approx. 11 hours to complete,Missing,Missing
Poverty & Population: How Demographics Shape Policy,Columbia University,"4.8
stars","1,748",Social Sciences,"['- Distinguish the values inherent in each social policy initiative', '- Critique components of a social policy based on their effectiveness at meeting the goals stated in the initiative', '- Develop social welfare policy analysis and reform proposals', '- Differentiate alternative approaches to social policy problems', '- Formulate practice strategies to overcome the historic biases in social welfare programs']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Social Business Model and Planning for Social Innovation,Copenhagen Business School,"4.6
stars","4,783",Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Stanford Introduction to Food and Health,Stanford University,"4.7
stars","354,018",Health,"['Health Informatics', 'Nutrition', 'Food Safety', 'Food Science']",Beginner Level,Approx. 5 hours to complete,Missing,Missing
Technical Support Fundamentals,Google,"4.8
stars","260,533",Information Technology,"['Binary Code', 'Customer Support', 'Linux', 'Troubleshooting']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Learning How To Learn for Youth,Arizona State University,"4.8
stars","16,032",Personal Development,"['Test Preparation', 'Learning To Learn', 'Pomodoro Technique', 'Meta Learning']",Beginner Level,Approx. 6 hours to complete,Missing,Missing
Surveillance Systems: The Building Blocks,Missing,"4.7
stars","1,531",Health,"['Data Collection', 'Epidemiology', 'surveillance', 'Disease Surveillance']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Generative Design for Additive Manufacturing,Autodesk,"4.8
stars","2,237",Physical Science and Engineering,"['Manufacturing Process Management', 'Computer-Aided Design (CAD)', 'Autodesk Fusion 360', 'Mechanical Engineering', 'Generative Design']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,"4.7
stars","20,199",Information Technology,"['Google Cloud', 'Cloud Computing', 'GCP Infrastructure', 'GCP ACE Certification']","Beginner Level
Recommended experience: 6 months+ hands-on experience with GCP. Familiarity with Linux and command line shell usage.",Approx. 8 hours to complete,Missing,Missing
Strategic Business Management - Microeconomics,"University of California, Irvine","4.7
stars","8,819",Business,[],Beginner Level,Approx. 25 hours to complete,Missing,Missing
Basic Statistics,University of Amsterdam,"4.7
stars","173,349",Data Science,"['Statistics', 'Confidence Interval', 'Statistical Hypothesis Testing', 'R Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Excel Skills for Business: Essentials,Macquarie University,"4.9
stars","181,443",Business,"['Graphs', 'Spreadsheet', 'Microsoft Excel', 'Chart']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Public Speaking,University of Washington,"4.8
stars","83,193",Business,"['Confidence', 'Presentation', 'Speech', 'Public Speaking']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
University Teaching,The University of Hong Kong,"4.8
stars","9,099",Social Sciences,"['Teaching', 'Management', 'Instructional Design', 'Teaching Method']",Beginner Level,Approx. 16 hours to complete,Missing,Missing
Population Health: Alternative Payment Models,Universiteit Leiden,Missing,Missing,Health,"['design alternative payment models', 'implementing', 'Evaluation', 'design value based payment models', 'Critical Thinking']","Beginner Level
No previous knowledge necessary",Approx. 20 hours to complete,Missing,Missing
"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors",University of Illinois at Urbana-Champaign,"4.8
stars","3,308",Physical Science and Engineering,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Intelligence Tools for the Digital Age,IE Business School,"4.7
stars","6,293",Business,[],Beginner Level,Approx. 8 hours to complete,Missing,Missing
Equine Welfare and Management,"University of California, Davis","4.8
stars","6,883",Health,[],Beginner Level,Approx. 19 hours to complete,Missing,Missing
Essential Design Principles for Tableau,"University of California, Davis","4.5
stars","26,356",Data Science,"['Data Analysis', 'Tableau Software', 'Data Virtualization', 'Data Visualization (DataViz)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Palo Alto Networks Academy Cybersecurity Foundation,Palo Alto Networks,"4.7
stars","6,557",Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Health Care Delivery in Healthcare Organizations,Rutgers the State University of New Jersey,"4.7
stars",Missing,Health,"['Pharmacy Healthcare Organization Operations', 'Public Health and Wellness Healthcare Organization Operations', 'Medical Healthcare Organization Operations', 'Healthcare Administration', 'Dental Healthcare Organization Operations']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Israel State and Society,Hebrew University of Jerusalem,"4.7
stars","6,715",Social Sciences,[],Beginner Level,Approx. 15 hours to complete,Missing,Missing
Computational Thinking for Problem Solving,University of Pennsylvania,"4.8
stars","31,339",Computer Science,"['Simple Algorithm', 'Python Programming', 'Problem Solving', 'Computation']",Beginner Level,Approx. 17 hours to complete,Missing,Missing
Developing a Systems Mindset,University of Colorado Boulder,"3.5
stars",Missing,Business,"['Project Management', 'Client interaction', 'Systems Thinking']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Dental Medicine,University of Pennsylvania,"4.8
stars","24,031",Health,[],Beginner Level,Approx. 9 hours to complete,Missing,Missing
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,"4.5
stars","29,787",Business,"['Risk Management', 'Budget', 'Saving', 'Investment']",Beginner Level,Approx. 18 hours to complete,Missing,Missing
Introduction to Computer Vision with Watson and OpenCV,IBM,"4.5
stars","8,913",Data Science,"['Artificial Intelligence (AI)', 'Opencv', 'Computer Vision', 'watson']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Heritage under Threat,Missing,"4.7
stars","5,442",Arts and Humanities,[],Beginner Level,Approx. 27 hours to complete,Missing,Missing
Introduction to Multilingual and Multicultural Education,National Research University Higher School of Economics,"4.4
stars","4,574",Arts and Humanities,[],Beginner Level,Approx. 10 hours to complete,Missing,Missing
Foundations of Public Health Practice: Health Protection,Imperial College London,Missing,Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Data Science of Health Informatics,Missing,"4.7
stars","2,519",Health,"['Data Science', 'Database (DBMS)', 'Data Analysis', 'Health Informatics', 'data querying']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Marketing Analytics,University of Virginia,"4.6
stars","149,197",Business,"['Marketing Experiments', 'Customer Lifetime Value', 'Regression Analysis', 'Marketing Analytics', 'Brand Equity']","Beginner Level
No prior experience needed to participate in and benefit from this course.",Approx. 16 hours to complete,Missing,Missing
Supply Chain Sourcing,Rutgers the State University of New Jersey,"4.7
stars","15,447",Business,"['Sourcing Best Practices', 'Strategic Sourcing', 'Supply Chain Sourcing', 'Supply Chain']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Astro 101: Black Holes,University of Alberta,"4.8
stars","11,031",Physical Science and Engineering,"['Gravitation', 'Theory Of Relativity', 'Physics', 'Astronomy', 'Black Hole']",Beginner Level,Approx. 18 hours to complete,Missing,Missing
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Duke University,"4.5
stars","5,054",Social Sciences,[],Beginner Level,Approx. 15 hours to complete,Missing,Missing
Positive Psychology: Resilience Skills,University of Pennsylvania,"4.9
stars","38,581",Health,"['Gratitude', 'Plan', 'Positive Psychology', 'Communication', 'Mindfulness']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Welcome to Game Theory,The University of Tokyo,"4.6
stars","44,068",Social Sciences,"['Nash Equilibrium', 'Game Theory', 'Strategic Planning']",Beginner Level,Approx. 14 hours to complete,Missing,Missing
Local Economic Development,Erasmus University Rotterdam,"4.8
stars","5,269",Social Sciences,[],Beginner Level,Approx. 26 hours to complete,Missing,Missing
Agile Meets Design Thinking,University of Virginia,"4.7
stars","66,448",Computer Science,"['agile user stories', 'User Experience Design (UXD)', 'Agile Software Development', 'Product Management', 'Software Development']","Beginner Level
Some familiarity with software development is helpful, but not required.",Approx. 9 hours to complete,Missing,Missing
Ideas from the History of Graphic Design,California Institute of the Arts,"4.7
stars","42,919",Arts and Humanities,"['Art History', 'History', 'Graphic Arts', 'Graphic Design']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Engaging in Persuasive and Credible Communication,National University of Singapore,"4.4
stars","9,304",Personal Development,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
US Social Services Compared,Columbia University,"4.7
stars",Missing,Social Sciences,"['- Distinguish the values inherent in each social policy initiative', '- Critique components of a social policy based on their effectiveness at meeting the goals stated in the initiative', '- Develop social welfare policy analysis and reform proposals', '- Differentiate alternative approaches to social policy problems', '- Formulate practice strategies to overcome the historic biases in social welfare programs']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Fundamentals of Music Theory,The University of Edinburgh,"4.6
stars","176,536",Arts and Humanities,"['Music', 'Chord', 'Notation', 'Scales']",Beginner Level,Approx. 8 hours to complete,Missing,Missing
Negotiation skills: Negotiate and resolve conflict,Macquarie University,"4.8
stars","1,731",Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
IA para todos,deeplearning.ai,"4.9
stars","6,506",Business,[],Beginner Level,Approx. 6 hours to complete,Missing,Missing
"Engineering Project Management: Risk, Quality, Teams, and Procurement",Rice University,"4.8
stars","8,092",Business,"['Project Management', 'Procurement', 'Risk Management Plan', 'Project Risk Management']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Think Again I: How to Understand Arguments,Duke University,"4.6
stars","193,291",Personal Development,"['Evaluation', 'Interpretation', 'Language', 'Linguistics']",Beginner Level,Approx. 16 hours to complete,Missing,Missing
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,"4.8
stars","5,172",Business,[],"Beginner Level
Course is open to anyone interested in business and the Sustainable Development Goals",Approx. 15 hours to complete,Missing,Missing
Introduction to Economic Theories,Erasmus University Rotterdam,"4.4
stars","20,437",Social Sciences,[],Beginner Level,Approx. 42 hours to complete,Missing,Missing
Introduction to Probability and Data,Duke University,"4.7
stars","159,309",Data Science,"['Statistics', 'R Programming', 'Rstudio', 'Exploratory Data Analysis']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
